SAMPLING,POPULATION,TEMPERATURE,PCO2,TREATMENT,SAMPLE #,Male-Stage,Female-Stage,Sex-redo,Dom-Stage-redo,Sex-simple,
APRIL,SN,6,High,6-High,22,3,2,H,3,H,
APRIL,SN,6,High,6-High,23,3,0,M,3,M,
APRIL,SN,6,High,6-High,24,3,2,H,3,H,
APRIL,SN,6,Amb,6-Ambient,25,3,2,HPM,3,M,
APRIL,SN,6,Amb,6-Ambient,26,0,2,F,2,F,
APRIL,SN,6,Amb,6-Ambient,27,0,1,F,1,F,
APRIL,SN,6,Amb,6-Ambient,28,3,1,HPM,3,M,
APRIL,SN,6,Amb,6-Ambient,29,3,3,HPF,3,F,
APRIL,SN,6,Amb,6-Ambient,30,2,2,F,2,F,
APRIL,SN,6,Amb,6-Ambient,31,0,0,I,0,I,
APRIL,SN,6,Amb,6-Ambient,32,0,3,F,3,F,
APRIL,SN,6,Amb,6-Ambient,33,0,2,F,2,F,
APRIL,SN,10,High,10-High,16,0,3,F,3,F,
APRIL,SN,10,High,10-High,17,2,2,H,2,H,
APRIL,SN,10,High,10-High,18,2,1,HPM,2,M,
APRIL,SN,10,High,10-High,19,1,2,HPF,2,F,
APRIL,SN,10,High,10-High,20,2,0,M,2,M,
APRIL,SN,10,High,10-High,21,4,3,HPF,3,F,
APRIL,SN,10,High,10-High,22,1,1,I,1,I,
APRIL,SN,10,High,10-High,23,4,3,HPF,3,F,
APRIL,SN,10,High,10-High,24,3,2,H,3,H,
APRIL,SN,10,Amb,10-Ambient,25,3,1,HPM,3,M,
APRIL,SN,10,Amb,10-Ambient,26,3,2,H,3,H,
APRIL,SN,10,Amb,10-Ambient,27,0,1,F,1,F,
APRIL,SN,10,Amb,10-Ambient,28,3,2,HPM,3,M,
APRIL,SN,10,Amb,10-Ambient,29,0,2,F,2,F,
APRIL,SN,10,Amb,10-Ambient,30,0,1,F,1,F,
APRIL,SN,10,Amb,10-Ambient,31,0,3,F,3,F,
APRIL,SN,10,Amb,10-Ambient,32,4,2,HPF,2,F,
APRIL,SN,10,Amb,10-Ambient,33,4,2,HPF,2,F,
FEBRUARY,HL,6,Pre,6,1,3,2,HPF,2,F,
FEBRUARY,HL,6,Pre,6,2,3,2,HPF,2,F,
FEBRUARY,HL,6,Pre,6,3,4,0,M,4,M,
FEBRUARY,HL,6,Pre,6,4,4,2,HPF,2,F,
FEBRUARY,HL,6,Pre,6,5,4,1,M,4,M,
FEBRUARY,HL,6,Pre,6,6,0,2,F,2,F,
FEBRUARY,HL,6,Pre,6,7,4,1,HPF,1,F,
FEBRUARY,HL,6,Pre,6,8,3,1,HPF,1,F,
FEBRUARY,HL,6,Pre,6,9,3,1,HPM,3,M,
FEBRUARY,HL,10,Pre,10,1,2,1,H,2,H,
FEBRUARY,HL,10,Pre,10,2,4,1,HPM,4,M,
FEBRUARY,HL,10,Pre,10,3,2,0,M,2,M,
FEBRUARY,HL,10,Pre,10,4,2,1,HPM,2,M,
FEBRUARY,HL,10,Pre,10,5,0,3,F,3,F,
FEBRUARY,HL,10,Pre,10,6,3,0,M,3,M,
FEBRUARY,HL,10,Pre,10,7,3,0,M,3,M,
FEBRUARY,HL,10,Pre,10,8,2,0,M,2,M,
FEBRUARY,HL,10,Pre,10,9,2,0,M,2,M,
FEBRUARY,K,6,Pre,6,1,4,1,HPM,4,M,
FEBRUARY,K,6,Pre,6,2,4,1,HPF,1,F,
FEBRUARY,K,6,Pre,6,3,4,0,M,4,M,
FEBRUARY,K,6,Pre,6,4,3,0,M,3,M,
FEBRUARY,K,6,Pre,6,5,3,0,M,3,M,
FEBRUARY,K,6,Pre,6,6,4,1,H,4,H,
FEBRUARY,K,6,Pre,6,7,4,3,HPF,3,F,
FEBRUARY,K,6,Pre,6,8,4,0,M,4,M,
FEBRUARY,K,6,Pre,6,9,4,0,M,4,M,
FEBRUARY,K,6,Pre,6,10,4,1,HPF,1,F,
FEBRUARY,K,6,Pre,6,11,1,1,HPF,1,F,
FEBRUARY,K,6,Pre,6,12,3,0,M,3,M,
FEBRUARY,K,6,Pre,6,13,4,0,M,4,M,
FEBRUARY,K,6,Pre,6,14,3,2,HPF,2,F,
FEBRUARY,K,6,Pre,6,15,4,0,M,4,M,
FEBRUARY,K,10,Pre,10,1,2,1,HPM,2,M,
FEBRUARY,K,10,Pre,10,2,1,0,M,1,M,
FEBRUARY,K,10,Pre,10,3,2,1,HPM,2,M,
FEBRUARY,K,10,Pre,10,4,4,2,HPF,2,F,
FEBRUARY,K,10,Pre,10,5,4,0,M,4,M,
FEBRUARY,K,10,Pre,10,6,2,2,H,2,H,
FEBRUARY,K,10,Pre,10,7,1,0,M,1,M,
FEBRUARY,K,10,Pre,10,8,0,0,I,0,I,
FEBRUARY,K,10,Pre,10,9,1,1,HPM,1,M,
FEBRUARY,K,10,Pre,10,10,1,0,M,1,M,
FEBRUARY,K,10,Pre,10,11,2,1,HPM,2,M,
FEBRUARY,K,10,Pre,10,12,1,1,H,1,H,
FEBRUARY,K,10,Pre,10,13,2,0,M,2,M,
FEBRUARY,K,10,Pre,10,14,2,0,M,2,M,
FEBRUARY,K,10,Pre,10,15,2,0,M,2,M,
FEBRUARY,NF,6,Pre,6,1,1,0,M,1,M,
FEBRUARY,NF,6,Pre,6,2,4,1,HPM,4,M,
FEBRUARY,NF,6,Pre,6,3,1,1,I,1,I,
FEBRUARY,NF,6,Pre,6,4,0,0,M,0,M,
FEBRUARY,NF,6,Pre,6,5,4,1,HPF,1,F,
FEBRUARY,NF,6,Pre,6,6,3,1,HPM,3,M,
FEBRUARY,NF,6,Pre,6,7,4,0,M,4,M,
FEBRUARY,NF,6,Pre,6,8,3,0,M,3,M,
FEBRUARY,NF,6,Pre,6,9,0,0,I,0,I,
FEBRUARY,NF,6,Pre,6,10,4,1,HPM,4,M,
FEBRUARY,NF,6,Pre,6,11,3,0,M,3,M,
FEBRUARY,NF,6,Pre,6,12,1,1,I,1,I,
FEBRUARY,NF,6,Pre,6,13,3,0,M,3,M,
FEBRUARY,NF,6,Pre,6,14,3,1,M,3,M,
FEBRUARY,NF,6,Pre,6,15,1,1,I,1,I,
FEBRUARY,NF,10,Pre,10,1,1,1,HPM,1,M,
FEBRUARY,NF,10,Pre,10,2,2,0,M,2,M,
FEBRUARY,NF,10,Pre,10,3,2,0,M,2,M,INTERESTING
FEBRUARY,NF,10,Pre,10,4,1,1,I,1,I,
FEBRUARY,NF,10,Pre,10,5,3,0,M,3,M,
FEBRUARY,NF,10,Pre,10,6,2,1,HPM,2,M,
FEBRUARY,NF,10,Pre,10,7,1,1,HPM,1,M,
FEBRUARY,NF,10,Pre,10,8,3,1,HPM,3,M,
FEBRUARY,NF,10,Pre,10,9,4,1,HPM,4,M,
FEBRUARY,NF,10,Pre,10,10,3,0,M,3,M,
FEBRUARY,NF,10,Pre,10,11,3,2,H,3,H,
FEBRUARY,NF,10,Pre,10,12,0,0,I,0,I,
FEBRUARY,NF,10,Pre,10,13,2,1,HPM,2,M,
FEBRUARY,NF,10,Pre,10,14,2,0,M,2,M,
FEBRUARY,NF,10,Pre,10,15,3,1,HPM,3,M,
FEBRUARY,SN,6,Pre,6,1,3,0,M,3,M,
FEBRUARY,SN,6,Pre,6,2,4,0,M,4,M,
FEBRUARY,SN,6,Pre,6,3,0,2,HPF,2,F,
FEBRUARY,SN,6,Pre,6,4,4,0,M,4,M,
FEBRUARY,SN,6,Pre,6,5,4,1,HPM,4,M,
FEBRUARY,SN,6,Pre,6,6,4,2,HPF,2,F,
FEBRUARY,SN,6,Pre,6,7,2,2,H,2,H,
FEBRUARY,SN,6,Pre,6,8,4,2,HPF,2,F,
FEBRUARY,SN,6,Pre,6,9,1,1,I,1,I,
FEBRUARY,SN,6,Pre,6,10,0,1,F,1,F,
FEBRUARY,SN,6,Pre,6,11,4,2,HPF,2,F,
FEBRUARY,SN,6,Pre,6,12,4,0,M,4,M,
FEBRUARY,SN,6,Pre,6,13,4,2,HPF,2,F,
FEBRUARY,SN,6,Pre,6,14,3,4,HPM,3,M,
FEBRUARY,SN,6,Pre,6,15,3,2,H,3,H,
FEBRUARY,SN,10,Pre,10,1,2,2,H,2,H,
FEBRUARY,SN,10,Pre,10,2,2,2,H,2,H,
FEBRUARY,SN,10,Pre,10,3,1,1,M,1,M,
FEBRUARY,SN,10,Pre,10,4,2,0,M,2,M,
FEBRUARY,SN,10,Pre,10,5,2,1,HPM,2,M,
FEBRUARY,SN,10,Pre,10,6,3,3,HPF,3,F,
FEBRUARY,SN,10,Pre,10,7,1,0,M,1,M,
FEBRUARY,SN,10,Pre,10,8,3,2,H,3,H,
FEBRUARY,SN,10,Pre,10,9,4,2,HPF,2,F,
FEBRUARY,SN,10,Pre,10,10,4,1,HPF,1,F,
FEBRUARY,SN,10,Pre,10,11,4,2,HPF,2,F,
FEBRUARY,SN,10,Pre,10,12,0,2,F,2,F,
FEBRUARY,SN,10,Pre,10,13,4,3,HPF,3,F,
FEBRUARY,SN,10,Pre,10,14,3,2,HPF,2,F,
FEBRUARY,SN,10,Pre,10,15,2,0,M,2,M,
